"source","target","weight","type"
"1","1",593,"undirected"
"108","1",8,"undirected"
"111","1",10,"undirected"
"124","1",8,"undirected"
"14","1",22,"undirected"
"2","1",62,"undirected"
"21","1",9,"undirected"
"22","1",6,"undirected"
"224","1",7,"undirected"
"24","1",9,"undirected"
"25","1",8,"undirected"
"277","1",24,"undirected"
"3","1",9,"undirected"
"33","1",8,"undirected"
"41","1",25,"undirected"
"5","1",151,"undirected"
"553","1",23,"undirected"
"589","1",7,"undirected"
"59","1",15,"undirected"
"62","1",18,"undirected"
"67","1",9,"undirected"
"721","1",20,"undirected"
"74","1",25,"undirected"
"8","1",106,"undirected"
"81","1",13,"undirected"
"82","1",9,"undirected"
"820","1",168,"undirected"
"843","1",9,"undirected"
"844","1",8,"undirected"
"89","1",56,"undirected"
"893","1",20,"undirected"
"894","1",26,"undirected"
"896","1",8,"undirected"
"909","1",9,"undirected"
"911","1",7,"undirected"
"912","1",6,"undirected"
"913","1",6,"undirected"
"933","1",8,"undirected"
"10","10",15,"undirected"
"1005","1005",7,"undirected"
"1006","1006",16,"undirected"
"394","1006",6,"undirected"
"720","1006",15,"undirected"
"820","1006",9,"undirected"
"997","1006",8,"undirected"
"1011","1011",19,"undirected"
"124","1011",11,"undirected"
"820","1011",9,"undirected"
"1013","1013",13,"undirected"
"820","1013",7,"undirected"
"948","1013",7,"undirected"
"1015","1015",19,"undirected"
"14","1015",8,"undirected"
"720","1015",14,"undirected"
"820","1015",6,"undirected"
"1016","1016",19,"undirected"
"1017","1016",10,"undirected"
"14","1016",9,"undirected"
"820","1016",10,"undirected"
"1016","1017",10,"undirected"
"1017","1017",18,"undirected"
"14","1017",8,"undirected"
"820","1017",9,"undirected"
"1020","1020",9,"undirected"
"1021","1021",9,"undirected"
"1024","1024",29,"undirected"
"1025","1024",6,"undirected"
"1028","1024",6,"undirected"
"306","1024",14,"undirected"
"720","1024",8,"undirected"
"820","1024",7,"undirected"
"1024","1025",6,"undirected"
"1025","1025",12,"undirected"
"820","1025",8,"undirected"
"1026","1026",27,"undirected"
"720","1026",14,"undirected"
"820","1026",24,"undirected"
"1024","1028",6,"undirected"
"1028","1028",9,"undirected"
"306","1028",6,"undirected"
"1029","1029",9,"undirected"
"820","1029",8,"undirected"
"103","103",22,"undirected"
"129","103",14,"undirected"
"1033","1033",15,"undirected"
"823","1033",10,"undirected"
"1034","1034",11,"undirected"
"823","1034",10,"undirected"
"1035","1035",8,"undirected"
"823","1035",7,"undirected"
"104","104",27,"undirected"
"5","104",18,"undirected"
"89","104",7,"undirected"
"1042","1042",16,"undirected"
"1043","1042",7,"undirected"
"1044","1042",6,"undirected"
"720","1042",7,"undirected"
"820","1042",8,"undirected"
"89","1042",6,"undirected"
"1042","1043",7,"undirected"
"1043","1043",10,"undirected"
"820","1043",6,"undirected"
"89","1043",6,"undirected"
"1042","1044",6,"undirected"
"1044","1044",16,"undirected"
"820","1044",6,"undirected"
"1055","1055",9,"undirected"
"711","1055",7,"undirected"
"1057","1057",10,"undirected"
"1058","1058",6,"undirected"
"1064","1064",8,"undirected"
"720","1064",7,"undirected"
"1068","1068",47,"undirected"
"237","1068",6,"undirected"
"820","1068",13,"undirected"
"1069","1069",6,"undirected"
"1070","1070",9,"undirected"
"820","1070",8,"undirected"
"1072","1072",21,"undirected"
"1074","1072",6,"undirected"
"1075","1072",11,"undirected"
"1076","1072",6,"undirected"
"580","1072",9,"undirected"
"820","1072",15,"undirected"
"1073","1073",8,"undirected"
"580","1073",7,"undirected"
"820","1073",7,"undirected"
"1072","1074",6,"undirected"
"1074","1074",8,"undirected"
"1075","1074",6,"undirected"
"580","1074",7,"undirected"
"820","1074",7,"undirected"
"1072","1075",11,"undirected"
"1074","1075",6,"undirected"
"1075","1075",13,"undirected"
"580","1075",7,"undirected"
"820","1075",12,"undirected"
"1072","1076",6,"undirected"
"1076","1076",6,"undirected"
"820","1076",6,"undirected"
"1077","1077",95,"undirected"
"1247","1077",11,"undirected"
"334","1077",8,"undirected"
"711","1077",13,"undirected"
"721","1077",41,"undirected"
"820","1077",33,"undirected"
"937","1077",30,"undirected"
"1","108",8,"undirected"
"108","108",13,"undirected"
"111","108",10,"undirected"
"1082","1082",27,"undirected"
"668","1082",9,"undirected"
"1084","1084",7,"undirected"
"721","1084",6,"undirected"
"109","109",6,"undirected"
"1090","1090",8,"undirected"
"1091","1091",10,"undirected"
"1092","1091",6,"undirected"
"1093","1091",7,"undirected"
"1091","1092",6,"undirected"
"1092","1092",7,"undirected"
"1093","1092",6,"undirected"
"1091","1093",7,"undirected"
"1092","1093",6,"undirected"
"1093","1093",10,"undirected"
"721","1093",6,"undirected"
"1094","1094",9,"undirected"
"820","1094",6,"undirected"
"1102","1102",26,"undirected"
"1103","1102",7,"undirected"
"1104","1102",10,"undirected"
"721","1102",6,"undirected"
"820","1102",7,"undirected"
"1102","1103",7,"undirected"
"1103","1103",18,"undirected"
"1102","1104",10,"undirected"
"1104","1104",11,"undirected"
"1106","1106",17,"undirected"
"1108","1108",8,"undirected"
"820","1108",6,"undirected"
"1","111",10,"undirected"
"108","111",10,"undirected"
"111","111",14,"undirected"
"1110","1110",21,"undirected"
"1112","1110",8,"undirected"
"820","1110",7,"undirected"
"1110","1112",8,"undirected"
"1112","1112",35,"undirected"
"1113","1112",9,"undirected"
"1121","1112",6,"undirected"
"820","1112",8,"undirected"
"1112","1113",9,"undirected"
"1113","1113",10,"undirected"
"1114","1114",28,"undirected"
"1122","1114",8,"undirected"
"721","1114",6,"undirected"
"820","1114",23,"undirected"
"1116","1116",6,"undirected"
"1112","1121",6,"undirected"
"1121","1121",12,"undirected"
"1114","1122",8,"undirected"
"1122","1122",13,"undirected"
"820","1122",9,"undirected"
"1125","1125",10,"undirected"
"721","1125",6,"undirected"
"1126","1126",10,"undirected"
"306","1126",6,"undirected"
"721","1126",7,"undirected"
"820","1126",7,"undirected"
"1127","1127",6,"undirected"
"721","1127",6,"undirected"
"1128","1128",7,"undirected"
"1131","1128",6,"undirected"
"1132","1128",6,"undirected"
"1134","1128",6,"undirected"
"820","1128",7,"undirected"
"1128","1131",6,"undirected"
"1131","1131",7,"undirected"
"1132","1131",6,"undirected"
"1134","1131",6,"undirected"
"820","1131",6,"undirected"
"1128","1132",6,"undirected"
"1131","1132",6,"undirected"
"1132","1132",6,"undirected"
"1134","1132",6,"undirected"
"820","1132",6,"undirected"
"1128","1134",6,"undirected"
"1131","1134",6,"undirected"
"1132","1134",6,"undirected"
"1134","1134",17,"undirected"
"721","1134",14,"undirected"
"820","1134",15,"undirected"
"1137","1137",12,"undirected"
"149","1137",7,"undirected"
"1140","1140",14,"undirected"
"168","1140",11,"undirected"
"318","1140",6,"undirected"
"457","1140",6,"undirected"
"820","1140",11,"undirected"
"1142","1142",13,"undirected"
"721","1142",10,"undirected"
"1144","1144",6,"undirected"
"1146","1146",6,"undirected"
"115","115",16,"undirected"
"33","115",13,"undirected"
"5","115",7,"undirected"
"89","115",7,"undirected"
"1167","1167",6,"undirected"
"721","1167",6,"undirected"
"1174","1174",6,"undirected"
"1175","1175",32,"undirected"
"1218","1175",7,"undirected"
"820","1175",10,"undirected"
"1179","1179",14,"undirected"
"1180","1179",11,"undirected"
"89","1179",10,"undirected"
"1179","1180",11,"undirected"
"1180","1180",20,"undirected"
"89","1180",12,"undirected"
"1181","1181",11,"undirected"
"81","1181",6,"undirected"
"1182","1182",7,"undirected"
"81","1182",7,"undirected"
"1189","1189",30,"undirected"
"589","1189",7,"undirected"
"62","1189",6,"undirected"
"820","1189",6,"undirected"
"1191","1191",10,"undirected"
"589","1191",10,"undirected"
"1194","1194",11,"undirected"
"721","1194",7,"undirected"
"1199","1199",20,"undirected"
"1200","1199",7,"undirected"
"1206","1199",8,"undirected"
"820","1199",16,"undirected"
"1199","1200",7,"undirected"
"1200","1200",10,"undirected"
"820","1200",9,"undirected"
"1202","1202",16,"undirected"
"1199","1206",8,"undirected"
"1206","1206",21,"undirected"
"820","1206",16,"undirected"
"1207","1207",32,"undirected"
"1212","1207",7,"undirected"
"1213","1207",8,"undirected"
"1214","1207",8,"undirected"
"820","1207",25,"undirected"
"1208","1208",10,"undirected"
"121","121",6,"undirected"
"1210","1210",10,"undirected"
"1211","1210",6,"undirected"
"1212","1210",7,"undirected"
"1210","1211",6,"undirected"
"1211","1211",6,"undirected"
"1207","1212",7,"undirected"
"1210","1212",7,"undirected"
"1212","1212",11,"undirected"
"1213","1212",8,"undirected"
"1214","1212",6,"undirected"
"820","1212",7,"undirected"
"1207","1213",8,"undirected"
"1212","1213",8,"undirected"
"1213","1213",16,"undirected"
"820","1213",8,"undirected"
"1207","1214",8,"undirected"
"1212","1214",6,"undirected"
"1214","1214",10,"undirected"
"820","1214",9,"undirected"
"1217","1217",6,"undirected"
"1175","1218",7,"undirected"
"1218","1218",35,"undirected"
"820","1218",16,"undirected"
"1220","1220",65,"undirected"
"1221","1220",10,"undirected"
"1222","1220",12,"undirected"
"1223","1220",17,"undirected"
"1224","1220",7,"undirected"
"1225","1220",6,"undirected"
"1226","1220",11,"undirected"
"1227","1220",9,"undirected"
"820","1220",24,"undirected"
"1220","1221",10,"undirected"
"1221","1221",23,"undirected"
"1223","1221",6,"undirected"
"1220","1222",12,"undirected"
"1222","1222",15,"undirected"
"1223","1222",9,"undirected"
"1220","1223",17,"undirected"
"1221","1223",6,"undirected"
"1222","1223",9,"undirected"
"1223","1223",29,"undirected"
"1226","1223",6,"undirected"
"1227","1223",6,"undirected"
"820","1223",8,"undirected"
"1220","1224",7,"undirected"
"1224","1224",10,"undirected"
