"source","target","weight","type"
"1","101",1.17391304347826,"undirected"
"1","115",1.31826086956522,"undirected"
"1","122",1.41471571906355,"undirected"
"1","128",1.27710843373494,"undirected"
"1","15",1.56521739130435,"undirected"
"1","19",1.71497584541063,"undirected"
"1","192",1.73913043478261,"undirected"
"1","197",1.65217391304348,"undirected"
"1","2",1.2416250890948,"undirected"
"1","200",1.17391304347826,"undirected"
"1","258",1.54565217391304,"undirected"
"1","259",1.54682274247492,"undirected"
"1","261",1.55954631379962,"undirected"
"1","262",1.52717391304348,"undirected"
"1","263",1.55253623188406,"undirected"
"1","28",1.37944664031621,"undirected"
"1","39",1.52173913043478,"undirected"
"1","42",1.52173913043478,"undirected"
"1","475",1.69565217391304,"undirected"
"1","5",1.16671465591707,"undirected"
"1","57",1.71739130434783,"undirected"
"1","58",1.63285024154589,"undirected"
"1","68",1.15942028985507,"undirected"
"1","8",1.29573420836751,"undirected"
"1","85",1.07478260869565,"undirected"
"100","5",1.52173913043478,"undirected"
"100","99",1.52173913043478,"undirected"
"1003","914",1,"undirected"
"1006","888",1,"undirected"
"101","1",1.17391304347826,"undirected"
"101","5",1.10671936758893,"undirected"
"1048","1049",0.712665406427221,"undirected"
"1048","1056",0.72463768115942,"undirected"
"1049","1048",0.712665406427221,"undirected"
"1049","1052",0.507083536883244,"undirected"
"1049","1056",0.481088723930717,"undirected"
"1049","921",0.427769985974754,"undirected"
"1052","1049",0.507083536883244,"undirected"
"1052","1056",0.454517422139994,"undirected"
"1052","921",0.512338425381903,"undirected"
"1056","1048",0.72463768115942,"undirected"
"1056","1049",0.481088723930717,"undirected"
"1056","1052",0.454517422139994,"undirected"
"1056","921",0.477225672877847,"undirected"
"115","1",1.31826086956522,"undirected"
"115","128",1.37826086956522,"undirected"
"115","194",1.43478260869565,"undirected"
"115","2",1.40217391304348,"undirected"
"115","8",1.32367149758454,"undirected"
"122","1",1.41471571906355,"undirected"
"122","128",1.45746691871456,"undirected"
"122","15",1.69565217391304,"undirected"
"122","465",1.69565217391304,"undirected"
"122","58",1.69565217391304,"undirected"
"122","8",1.53177257525084,"undirected"
"128","1",1.27710843373494,"undirected"
"128","115",1.37826086956522,"undirected"
"128","122",1.45746691871456,"undirected"
"128","135",1.7888198757764,"undirected"
"128","148",1,"undirected"
"128","15",1.58339920948617,"undirected"
"128","174",1.49275362318841,"undirected"
"128","188",1.53511705685619,"undirected"
"128","194",1.52898550724638,"undirected"
"128","197",1.27601124810729,"undirected"
"128","2",1.50603864734299,"undirected"
"128","200",1.17391304347826,"undirected"
"128","201",1.17391304347826,"undirected"
"128","214",1.46739130434783,"undirected"
"128","218",1.78260869565217,"undirected"
"128","226",1.16086956521739,"undirected"
"128","258",1.52717391304348,"undirected"
"128","259",1.53452685421995,"undirected"
"128","26",1.01581027667984,"undirected"
"128","262",1.54462242562929,"undirected"
"128","28",1.32173913043478,"undirected"
"128","280",1.175442429539,"undirected"
"128","283",1.01185770750988,"undirected"
"128","3",1.05978260869565,"undirected"
"128","301",1.56521739130435,"undirected"
"128","309",1.46618357487923,"undirected"
"128","336",1.1304347826087,"undirected"
"128","353",1.26086956521739,"undirected"
"128","364",0.782608695652174,"undirected"
"128","368",0.782608695652174,"undirected"
"128","391",1.28985507246377,"undirected"
"128","392",1.70186335403727,"undirected"
"128","393",1.70652173913043,"undirected"
"128","394",1.69565217391304,"undirected"
"128","395",1.71428571428571,"undirected"
"128","4",1.31521739130435,"undirected"
"128","400",1.71739130434783,"undirected"
"128","405",1.08695652173913,"undirected"
"128","407",1.08695652173913,"undirected"
"128","410",1.08695652173913,"undirected"
"128","413",1.08695652173913,"undirected"
"128","415",1.22173913043478,"undirected"
"128","47",1.1207729468599,"undirected"
"128","473",1.69565217391304,"undirected"
"128","475",1.69565217391304,"undirected"
"128","511",1.02835538752363,"undirected"
"128","533",1.1304347826087,"undirected"
"128","540",1.85,"undirected"
"128","541",1.85714285714286,"undirected"
"128","542",1.8498023715415,"undirected"
"128","545",1.83478260869565,"undirected"
"128","57",0.888888888888889,"undirected"
"128","58",1.1304347826087,"undirected"
"128","68",1.19732441471572,"undirected"
"128","8",1.42467138523761,"undirected"
"129","85",1.30434782608696,"undirected"
"134","555",0.826086956521739,"undirected"
"134","85",1.30434782608696,"undirected"
"135","128",1.7888198757764,"undirected"
"135","290",2,"undirected"
"135","291",2,"undirected"
"135","292",2,"undirected"
"14","19",1.73429951690821,"undirected"
"14","5",1.72173913043478,"undirected"
"148","128",1,"undirected"
"15","1",1.56521739130435,"undirected"
"15","122",1.69565217391304,"undirected"
"15","128",1.58339920948617,"undirected"
"15","197",1.68774703557312,"undirected"
"15","280",1.56126482213439,"undirected"
"15","309",1.50310559006211,"undirected"
"15","35",1.59627329192547,"undirected"
"15","46",1.62111801242236,"undirected"
"15","462",1.69565217391304,"undirected"
"15","463",1.69565217391304,"undirected"
"15","5",1.52173913043478,"undirected"
"15","58",1.69565217391304,"undirected"
"15","60",1.69565217391304,"undirected"
"15","8",1.07608695652174,"undirected"
"174","128",1.49275362318841,"undirected"
"174","2",1.53913043478261,"undirected"
"188","128",1.53511705685619,"undirected"
"188","190",1.7536231884058,"undirected"
"188","2",1.6832298136646,"undirected"
"188","57",1.77018633540373,"undirected"
"19","1",1.71497584541063,"undirected"
"19","14",1.73429951690821,"undirected"
"19","5",1.71936758893281,"undirected"
"190","188",1.7536231884058,"undirected"
"192","1",1.73913043478261,"undirected"
"194","115",1.43478260869565,"undirected"
"194","128",1.52898550724638,"undirected"
"194","8",1.16576086956522,"undirected"
"197","1",1.65217391304348,"undirected"
"197","128",1.27601124810729,"undirected"
"197","15",1.68774703557312,"undirected"
"197","268",1.33478260869565,"undirected"
"197","280",1.10755148741419,"undirected"
"197","391",1.16231884057971,"undirected"
"197","415",1.25585284280936,"undirected"
"197","475",1.69565217391304,"undirected"
"197","479",1.69565217391304,"undirected"
"197","533",1.1304347826087,"undirected"
"197","540",1.78804347826087,"undirected"
"197","544",1.85652173913043,"undirected"
"197","545",1.83333333333333,"undirected"
"2","1",1.2416250890948,"undirected"
"2","115",1.40217391304348,"undirected"
"2","128",1.50603864734299,"undirected"
"2","174",1.53913043478261,"undirected"
"2","188",1.6832298136646,"undirected"
"2","5",0.973913043478261,"undirected"
"2","8",1.23715415019763,"undirected"
"200","1",1.17391304347826,"undirected"
"200","128",1.17391304347826,"undirected"
"201","128",1.17391304347826,"undirected"
"209","280",1.26086956521739,"undirected"
"209","352",1.26086956521739,"undirected"
"214","128",1.46739130434783,"undirected"
"218","128",1.78260869565217,"undirected"
"22","696",1.26086956521739,"undirected"
"226","128",1.16086956521739,"undirected"
"258","1",1.54565217391304,"undirected"
"258","128",1.52717391304348,"undirected"
"258","259",1.54492753623188,"undirected"
"258","261",1.55731225296443,"undirected"
"258","263",1.54347826086956,"undirected"
"259","1",1.54682274247492,"undirected"
"259","128",1.53452685421995,"undirected"
"259","258",1.54492753623188,"undirected"
"259","261",1.55869565217391,"undirected"
"259","262",1.53359683794466,"undirected"
"259","263",1.5527950310559,"undirected"
"26","128",1.01581027667984,"undirected"
"261","1",1.55954631379962,"undirected"
"261","258",1.55731225296443,"undirected"
"261","259",1.55869565217391,"undirected"
"261","263",1.55942028985507,"undirected"
"261","782",1.42533081285444,"undirected"
"261","895",1.52173913043478,"undirected"
"262","1",1.52717391304348,"undirected"
"262","128",1.54462242562929,"undirected"
"262","259",1.53359683794466,"undirected"
"263","1",1.55253623188406,"undirected"
"263","258",1.54347826086956,"undirected"
"263","259",1.5527950310559,"undirected"
"263","261",1.55942028985507,"undirected"
"268","197",1.33478260869565,"undirected"
